app,period,negative_reviews,delivery_delay,refund_issues,item_quality,missing_wrong_items,pricing_charges,payment_issues,returns_replacement,app_bugs,customer_support,delivery_partner,stock_availability,cancellation,membership,packaging
bigbasket,2018Q4,50,0.1,0.06,0.1,0.1,0.14,0.08,0.04,0.16,0.14,0.1,0.04,0.18,0.04,0.0
bigbasket,2019Q1,44,0.0682,0.0909,0.1136,0.1136,0.25,0.0682,0.0227,0.0682,0.25,0.1136,0.1136,0.1136,0.0455,0.0227
bigbasket,2019Q2,58,0.069,0.1207,0.1207,0.1034,0.1724,0.1379,0.0345,0.1207,0.2069,0.1034,0.1897,0.1207,0.1207,0.0172
bigbasket,2019Q3,63,0.0317,0.1111,0.1587,0.1111,0.1905,0.0952,0.0476,0.0635,0.1746,0.0476,0.2222,0.2698,0.0,0.0635
bigbasket,2019Q4,43,0.0233,0.0698,0.093,0.0698,0.2326,0.1163,0.0233,0.0465,0.2326,0.093,0.186,0.1628,0.1163,0.0465
bigbasket,2020Q1,50,0.0,0.12,0.1,0.16,0.12,0.16,0.0,0.12,0.14,0.06,0.16,0.22,0.06,0.02
bigbasket,2020Q2,284,0.0141,0.081,0.0739,0.0951,0.081,0.1338,0.0141,0.0704,0.1056,0.0141,0.2887,0.1092,0.0599,0.0035
bigbasket,2020Q3,125,0.032,0.144,0.072,0.152,0.112,0.152,0.04,0.064,0.056,0.04,0.312,0.104,0.088,0.024
bigbasket,2020Q4,53,0.0189,0.0755,0.1132,0.0943,0.0943,0.2453,0.0377,0.0755,0.1887,0.0377,0.2264,0.1321,0.0189,0.0189
bigbasket,2021Q2,68,0.0441,0.1176,0.1176,0.1176,0.0588,0.0588,0.0,0.0441,0.1176,0.0294,0.1176,0.0588,0.0588,0.0
bigbasket,2022Q1,42,0.0952,0.0476,0.0952,0.0476,0.0238,0.119,0.0238,0.1429,0.2143,0.0476,0.1905,0.0714,0.0,0.0
bigbasket,2022Q2,84,0.1429,0.119,0.0595,0.119,0.119,0.0714,0.0238,0.1429,0.25,0.0595,0.0476,0.1071,0.0,0.0119
bigbasket,2022Q3,60,0.1167,0.1333,0.0667,0.1333,0.0667,0.1333,0.0333,0.1833,0.1333,0.0833,0.1333,0.0667,0.0167,0.05
bigbasket,2022Q4,45,0.0889,0.0222,0.0667,0.0889,0.1111,0.1333,0.0444,0.3556,0.1556,0.0667,0.1333,0.1111,0.0222,0.0
bigbasket,2023Q2,46,0.087,0.0217,0.087,0.0217,0.1087,0.0435,0.0,0.1522,0.1957,0.087,0.0652,0.1304,0.0217,0.0
bigbasket,2023Q3,51,0.0588,0.098,0.0392,0.0196,0.1176,0.1176,0.0392,0.1176,0.2157,0.098,0.1176,0.2353,0.0,0.0196
bigbasket,2024Q3,47,0.1277,0.1064,0.1277,0.1277,0.1277,0.1489,0.0,0.0426,0.1915,0.0638,0.1489,0.1277,0.0213,0.0
bigbasket,2024Q4,55,0.1455,0.0182,0.0182,0.1273,0.0727,0.0545,0.0,0.0909,0.0545,0.1273,0.2364,0.0909,0.0182,0.0182
bigbasket,2025Q1,49,0.1224,0.1224,0.0408,0.1224,0.1633,0.102,0.0408,0.1633,0.1224,0.1633,0.1633,0.102,0.0,0.0204
bigbasket,2025Q3,224,0.1161,0.058,0.1071,0.0357,0.0982,0.0268,0.0134,0.0446,0.067,0.0536,0.0536,0.058,0.0,0.0134
bigbasket,2025Q4,234,0.0385,0.0598,0.0855,0.0427,0.0897,0.0214,0.0214,0.0342,0.0855,0.0598,0.0598,0.0556,0.0043,0.0128
bigbasket,2026Q1,403,0.062,0.0844,0.0868,0.0521,0.0993,0.0546,0.0074,0.0596,0.1166,0.0596,0.0546,0.072,0.0025,0.0124
bigbasket,2026Q2,777,0.0824,0.1506,0.1145,0.0914,0.0772,0.0914,0.0347,0.0682,0.2535,0.0991,0.0682,0.1416,0.027,0.0167
bigbasket,2026Q3,1540,0.0591,0.1182,0.0935,0.0786,0.061,0.0468,0.0338,0.0539,0.2117,0.1013,0.0409,0.1545,0.0052,0.0123
blinkit,2019Q3,45,0.1556,0.0889,0.0222,0.1111,0.1111,0.0222,0.0,0.0222,0.2444,0.1556,0.2444,0.0444,0.0222,0.0
blinkit,2020Q3,66,0.0455,0.1212,0.1061,0.0909,0.0606,0.0303,0.0455,0.0909,0.2576,0.0758,0.1667,0.0909,0.0606,0.0758
blinkit,2022Q1,81,0.0247,0.0864,0.0617,0.0617,0.1728,0.0,0.0617,0.0988,0.1605,0.0741,0.1975,0.0864,0.0,0.0988
blinkit,2022Q2,74,0.027,0.0541,0.1216,0.0541,0.3784,0.0,0.0676,0.1081,0.1351,0.0676,0.1757,0.027,0.0135,0.027
blinkit,2022Q3,81,0.037,0.0617,0.1358,0.0617,0.2593,0.0123,0.0494,0.037,0.1358,0.1111,0.1235,0.0617,0.0,0.037
blinkit,2022Q4,57,0.1228,0.0877,0.0526,0.0526,0.2632,0.0175,0.0702,0.0175,0.0526,0.1754,0.0526,0.0877,0.0,0.1228
blinkit,2023Q1,62,0.0968,0.1129,0.129,0.0806,0.4839,0.0323,0.0968,0.0323,0.129,0.0806,0.1613,0.0484,0.0161,0.0323
blinkit,2023Q2,84,0.0833,0.0476,0.0714,0.0714,0.4048,0.0238,0.0476,0.0357,0.1667,0.1071,0.1429,0.0833,0.0,0.0238
blinkit,2023Q3,85,0.0588,0.0706,0.1176,0.0824,0.3059,0.0235,0.1059,0.0471,0.1176,0.0824,0.0824,0.0471,0.0118,0.0588
blinkit,2023Q4,95,0.1158,0.0842,0.1368,0.0737,0.1789,0.0211,0.0737,0.0316,0.2105,0.1368,0.0737,0.0526,0.0,0.0632
blinkit,2024Q1,71,0.0423,0.0563,0.1408,0.0423,0.2254,0.0423,0.1268,0.0704,0.1127,0.0986,0.1127,0.0704,0.0141,0.0563
blinkit,2024Q2,105,0.1333,0.0571,0.1619,0.0667,0.3048,0.0571,0.0762,0.0667,0.1429,0.1048,0.0952,0.1048,0.0,0.019
blinkit,2024Q3,79,0.0759,0.1013,0.0633,0.0633,0.3038,0.0506,0.1013,0.0633,0.1013,0.1013,0.0633,0.1013,0.0127,0.0253
blinkit,2024Q4,82,0.0488,0.061,0.0976,0.0366,0.2805,0.0244,0.061,0.0732,0.1585,0.061,0.122,0.0732,0.0,0.0488
blinkit,2025Q1,50,0.04,0.14,0.08,0.08,0.36,0.02,0.02,0.06,0.12,0.12,0.16,0.12,0.0,0.06
blinkit,2025Q2,70,0.0714,0.0857,0.0714,0.1286,0.2571,0.0429,0.0714,0.0714,0.2286,0.1286,0.0714,0.0857,0.0,0.0429
blinkit,2025Q3,130,0.0538,0.1077,0.0692,0.0923,0.2923,0.0308,0.0615,0.0385,0.1077,0.1231,0.1615,0.0769,0.0,0.0385
blinkit,2025Q4,83,0.0843,0.1205,0.0723,0.0482,0.2771,0.0964,0.0482,0.0843,0.253,0.1325,0.1566,0.0843,0.0,0.0361
